FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Type of Transaction,Type of Property,Total Consideration
S92000003,Scotland,Country,2020-09,Count,Transactions,280,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,490,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-05,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,9830,All,All,Not Applicable
S92000003,Scotland,Country,2021-05,Count,Transactions,360,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-05,Count,Transactions,60,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,180,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,1780,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-04,Count,Transactions,680,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,300,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-05,Count,Transactions,8540,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-05,Count,Transactions,1290,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-05,Count,Transactions,2830,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,3730,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,170,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,2020,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-04,Count,Transactions,360,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-04,Count,Transactions,2100,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,50,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,250,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-04,Count,Transactions,320,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-04,Count,Transactions,6850,Conveyance,Residential,All
S92000003,Scotland,Country,2021-04,Count,Transactions,8200,All,All,Not Applicable
S92000003,Scotland,Country,2021-04,Count,Transactions,330,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,6850,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-04,Count,Transactions,3360,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,670,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,1340,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-06,Count,Transactions,11110,Conveyance,Residential,All
S92000003,Scotland,Country,2021-06,Count,Transactions,1290,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-06,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,2190,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-06,Count,Transactions,1360,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,11120,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-06,Count,Transactions,290,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-06,Count,Transactions,130,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,10830,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-07,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,280,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,360,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-06,Count,Transactions,12400,All,All,Not Applicable
S92000003,Scotland,Country,2021-05,Count,Transactions,940,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,300,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-05,Count,Transactions,8540,Conveyance,Residential,All
S92000003,Scotland,Country,2021-05,Count,Transactions,600,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-05,Count,Transactions,340,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-05,Count,Transactions,980,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,590,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-06,Count,Transactions,3740,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,1350,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,170,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,4540,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-06,Count,Transactions,420,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-02,Count,Transactions,3170,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-02,Count,Transactions,260,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-02,Count,Transactions,7630,Conveyance,Residential,All
S92000003,Scotland,Country,2021-02,Count,Transactions,480,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-01,Count,Transactions,130,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-01,Count,Transactions,290,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-01,Count,Transactions,7040,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-02,Count,Transactions,950,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-02,Count,Transactions,2450,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-02,Count,Transactions,8590,All,All,Not Applicable
S92000003,Scotland,Country,2021-02,Count,Transactions,320,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-02,Count,Transactions,150,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-02,Count,Transactions,70,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-02,Count,Transactions,950,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-01,Count,Transactions,850,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-01,Count,Transactions,170,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-01,Count,Transactions,3010,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-01,Count,Transactions,60,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-01,Count,Transactions,7030,Conveyance,Residential,All
S92000003,Scotland,Country,2021-01,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-01,Count,Transactions,820,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-01,Count,Transactions,390,Conveyance,Non-residential,All
