FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Type of Transaction,Type of Property,Total Consideration
S92000003,Scotland,Country,2023-04,Count,Transactions,8790,All,All,Not Applicable
S92000003,Scotland,Country,2023-04,Count,Transactions,100,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-04,Count,Transactions,7430,All,Residential,Not Applicable
S92000003,Scotland,Country,2023-04,Count,Transactions,100,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2023-04,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,1310,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,100,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,280,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,3050,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,1440,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2023-06,Count,Transactions,20,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2023-06,Count,Transactions,10220,All,All,Not Applicable
S92000003,Scotland,Country,2023-06,Count,Transactions,160,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,8780,All,Residential,Not Applicable
S92000003,Scotland,Country,2023-06,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,480,Lease,All,Not Applicable
S92000003,Scotland,Country,2023-06,Count,Transactions,400,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2023-06,Count,Transactions,1980,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2023-05,Count,Transactions,9290,All,All,Not Applicable
S92000003,Scotland,Country,2023-05,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,530,Conveyance,Non-residential,All
S92000003,Scotland,Country,2023-05,Count,Transactions,70,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,1240,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2023-05,Count,Transactions,1070,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,1500,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,2820,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-06,Count,Transactions,8780,Conveyance,Residential,All
S92000003,Scotland,Country,2023-05,Count,Transactions,250,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,8050,Conveyance,Residential,All
S92000003,Scotland,Country,2023-06,Count,Transactions,570,Conveyance,Non-residential,All
S92000003,Scotland,Country,2023-02,Count,Transactions,410,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2023-01,Count,Transactions,5710,Conveyance,Residential,All
S92000003,Scotland,Country,2023-02,Count,Transactions,1270,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2023-02,Count,Transactions,120,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2023-01,Count,Transactions,920,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2023-01,Count,Transactions,1470,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2023-01,Count,Transactions,70,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,690,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,5720,Conveyance,Residential,All
S92000003,Scotland,Country,2023-02,Count,Transactions,60,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,130,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,490,Conveyance,Non-residential,All
S92000003,Scotland,Country,2023-02,Count,Transactions,370,Lease,All,Not Applicable
S92000003,Scotland,Country,2023-01,Count,Transactions,1230,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2023-01,Count,Transactions,5710,All,Residential,Not Applicable
S92000003,Scotland,Country,2023-01,Count,Transactions,120,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2023-01,Count,Transactions,430,Conveyance,Non-residential,All
S92000003,Scotland,Country,2023-01,Count,Transactions,190,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2023-01,Count,Transactions,470,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2023-01,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-01,Count,Transactions,1820,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-01,Count,Transactions,730,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2023-01,Count,Transactions,340,Lease,All,Not Applicable
S92000003,Scotland,Country,2023-01,Count,Transactions,6950,All,All,Not Applicable
S92000003,Scotland,Country,2023-01,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2023-01,Count,Transactions,140,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,1980,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2023-03,Count,Transactions,410,Lease,All,Not Applicable
S92000003,Scotland,Country,2023-03,Count,Transactions,390,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2023-03,Count,Transactions,120,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2023-03,Count,Transactions,1090,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,80,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,930,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,1530,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2023-03,Count,Transactions,2980,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,320,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,130,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,9030,All,All,Not Applicable
S92000003,Scotland,Country,2023-03,Count,Transactions,60,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,2370,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,1710,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,900,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,1450,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2023-02,Count,Transactions,5720,All,Residential,Not Applicable
S92000003,Scotland,Country,2023-02,Count,Transactions,6990,All,All,Not Applicable
S92000003,Scotland,Country,2023-03,Count,Transactions,720,Conveyance,Non-residential,All
S92000003,Scotland,Country,2023-03,Count,Transactions,7500,Conveyance,Residential,All
S92000003,Scotland,Country,2023-03,Count,Transactions,7510,All,Residential,Not Applicable
S92000003,Scotland,Country,2023-03,Count,Transactions,220,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2023-02,Count,Transactions,250,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2023-03,Count,Transactions,2430,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,10350,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-11,Count,Transactions,1430,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-11,Count,Transactions,370,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-11,Count,Transactions,110,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,590,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-10,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,10040,Conveyance,Residential,All
S92000003,Scotland,Country,2021-11,Count,Transactions,1350,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,370,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-11,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,440,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-11,Count,Transactions,220,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,3880,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,11780,All,All,Not Applicable
S92000003,Scotland,Country,2021-10,Count,Transactions,210,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,11430,All,All,Not Applicable
S92000003,Scotland,Country,2021-10,Count,Transactions,350,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-10,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,110,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,2280,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-10,Count,Transactions,370,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-10,Count,Transactions,1280,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,1470,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,3300,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-10,Count,Transactions,430,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-10,Count,Transactions,1390,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-10,Count,Transactions,240,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,110,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,350,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-12,Count,Transactions,360,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-12,Count,Transactions,60,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,3480,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,250,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,10190,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-12,Count,Transactions,2390,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-12,Count,Transactions,1430,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-01,Count,Transactions,7690,All,All,Not Applicable
S92000003,Scotland,Country,2022-01,Count,Transactions,310,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-12,Count,Transactions,700,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-12,Count,Transactions,3840,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,11620,All,All,Not Applicable
S92000003,Scotland,Country,2021-11,Count,Transactions,1470,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,3540,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,630,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-11,Count,Transactions,10340,Conveyance,Residential,All
S92000003,Scotland,Country,2021-11,Count,Transactions,280,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-11,Count,Transactions,2490,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-11,Count,Transactions,100,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,270,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,380,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-12,Count,Transactions,1410,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,10190,Conveyance,Residential,All
S92000003,Scotland,Country,2021-12,Count,Transactions,100,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-12,Count,Transactions,1360,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,2350,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-08,Count,Transactions,3570,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,110,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,1490,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,410,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-07,Count,Transactions,1390,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,2240,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-08,Count,Transactions,1440,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,560,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-08,Count,Transactions,380,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-08,Count,Transactions,280,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,1310,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-08,Count,Transactions,360,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-07,Count,Transactions,590,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-07,Count,Transactions,1410,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,10830,Conveyance,Residential,All
S92000003,Scotland,Country,2021-07,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,12320,All,All,Not Applicable
S92000003,Scotland,Country,2021-07,Count,Transactions,3550,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,110,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,4370,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,290,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-07,Count,Transactions,500,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-07,Count,Transactions,390,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-07,Count,Transactions,1480,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-07,Count,Transactions,170,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,2170,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-09,Count,Transactions,560,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-09,Count,Transactions,120,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,250,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,3200,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,11010,All,All,Not Applicable
S92000003,Scotland,Country,2021-09,Count,Transactions,3830,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,340,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-10,Count,Transactions,10050,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-10,Count,Transactions,3880,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,1270,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-09,Count,Transactions,300,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-09,Count,Transactions,370,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-08,Count,Transactions,12080,All,All,Not Applicable
S92000003,Scotland,Country,2021-08,Count,Transactions,400,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-08,Count,Transactions,10770,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-08,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,10760,Conveyance,Residential,All
S92000003,Scotland,Country,2021-08,Count,Transactions,4150,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-08,Count,Transactions,150,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,190,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,1360,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,9740,Conveyance,Residential,All
S92000003,Scotland,Country,2021-09,Count,Transactions,1230,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-09,Count,Transactions,9740,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,250,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,70,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-05,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-05,Count,Transactions,2140,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-04,Count,Transactions,2060,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-04,Count,Transactions,220,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,9870,All,All,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,1290,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-05,Count,Transactions,200,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-05,Count,Transactions,3400,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-05,Count,Transactions,310,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-05,Count,Transactions,9130,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,580,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-05,Count,Transactions,1290,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,410,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-04,Count,Transactions,1130,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,110,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,2760,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,8300,Conveyance,Residential,All
S92000003,Scotland,Country,2022-04,Count,Transactions,90,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,1120,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,230,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-04,Count,Transactions,1570,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-04,Count,Transactions,350,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,3220,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-04,Count,Transactions,760,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-04,Count,Transactions,8300,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-06,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,2010,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-06,Count,Transactions,3080,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,180,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,260,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-06,Count,Transactions,9910,All,All,Not Applicable
S92000003,Scotland,Country,2022-06,Count,Transactions,8530,Conveyance,Residential,All
S92000003,Scotland,Country,2022-06,Count,Transactions,1360,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,9370,Conveyance,Residential,All
S92000003,Scotland,Country,2022-06,Count,Transactions,580,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-06,Count,Transactions,260,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,1220,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,8530,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,400,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-05,Count,Transactions,3060,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-05,Count,Transactions,10540,All,All,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,9130,Conveyance,Residential,All
S92000003,Scotland,Country,2022-05,Count,Transactions,440,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,90,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,370,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-06,Count,Transactions,1380,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-06,Count,Transactions,2760,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-06,Count,Transactions,440,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-05,Count,Transactions,1420,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-06,Count,Transactions,100,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-02,Count,Transactions,1250,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-02,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-02,Count,Transactions,2830,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-02,Count,Transactions,810,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,2670,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,1000,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-02,Count,Transactions,950,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-02,Count,Transactions,80,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-02,Count,Transactions,1750,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-02,Count,Transactions,70,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-02,Count,Transactions,2140,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-02,Count,Transactions,230,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-02,Count,Transactions,230,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,1680,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-01,Count,Transactions,80,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,6680,Conveyance,Residential,All
S92000003,Scotland,Country,2022-01,Count,Transactions,260,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-01,Count,Transactions,860,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,6690,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-01,Count,Transactions,210,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-01,Count,Transactions,890,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,140,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,210,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,2180,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-01,Count,Transactions,440,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-03,Count,Transactions,1680,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-03,Count,Transactions,290,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-03,Count,Transactions,8230,Conveyance,Residential,All
S92000003,Scotland,Country,2022-03,Count,Transactions,2160,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-03,Count,Transactions,200,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-03,Count,Transactions,9920,All,All,Not Applicable
S92000003,Scotland,Country,2022-03,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-03,Count,Transactions,440,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-03,Count,Transactions,330,Conveyance,Non-residential,0 to 150 Thousand Pounds
